"","X_id","location_name","address","year","year_stage","suspected_non_fatal_overdoses"
"80",80,"Covenant House Gerrard St E","20 Gerrard St E",2021,"Q1","< 5"
"81",81,"Covenant House Gerrard St E","20 Gerrard St E",2021,"Q2","< 5"
"82",82,"Covenant House Gerrard St E","20 Gerrard St E",2021,"Q3","< 5"
"83",83,"YWCA East End Hotel Program","1684 Queen St E",2020,"Q1",""
"84",84,"YWCA East End Hotel Program","1684 Queen St E",2020,"Q2","< 5"
"85",85,"YWCA East End Hotel Program","1684 Queen St E",2020,"Q3",""
"86",86,"YWCA East End Hotel Program","1684 Queen St E",2020,"Q4","< 5"
"87",87,"YWCA East End Hotel Program","1684 Queen St E",2021,"Q1","0"
"88",88,"YWCA East End Hotel Program","1684 Queen St E",2021,"Q2","< 5"
"89",89,"YWCA East End Hotel Program","1684 Queen St E",2021,"Q3","< 5"
"90",90,"Youth Agencies Scarborough Hotel Program","2035 Kennedy Rd",2020,"Q1",""
"91",91,"Youth Agencies Scarborough Hotel Program","2035 Kennedy Rd",2020,"Q2",""
"92",92,"Youth Agencies Scarborough Hotel Program","2035 Kennedy Rd",2020,"Q3","17"
"93",93,"Youth Agencies Scarborough Hotel Program","2035 Kennedy Rd",2020,"Q4","23"
"94",94,"Youth Agencies Scarborough Hotel Program","2035 Kennedy Rd",2021,"Q1","21"
"95",95,"Youth Agencies Scarborough Hotel Program","2035 Kennedy Rd",2021,"Q2","6"
"96",96,"Youth Agencies Scarborough Hotel Program","2035 Kennedy Rd",2021,"Q3","17"
"97",97,"Dixon Hall St. Margaret's OOTC","156 Sixth St",2019,"Q1","< 5"
"98",98,"Dixon Hall St. Margaret's OOTC","156 Sixth St",2019,"Q2",""
"99",99,"Dixon Hall St. Margaret's OOTC","156 Sixth St",2019,"Q3",""
"100",100,"Dixon Hall St. Margaret's OOTC","156 Sixth St",2019,"Q4",""
"101",101,"Dixon Hall Heyworth House","2714 Danforth Ave",2018,"Q1",""
"102",102,"Dixon Hall Heyworth House","2714 Danforth Ave",2018,"Q2",""
"103",103,"Dixon Hall Heyworth House","2714 Danforth Ave",2018,"Q3",""
"104",104,"Dixon Hall Heyworth House","2714 Danforth Ave",2018,"Q4","< 5"
"105",105,"Dixon Hall Heyworth House","2714 Danforth Ave",2019,"Q1","< 5"
"106",106,"Dixon Hall Heyworth House","2714 Danforth Ave",2019,"Q2",""
"107",107,"Dixon Hall Heyworth House","2714 Danforth Ave",2019,"Q3",""
"108",108,"Dixon Hall Heyworth House","2714 Danforth Ave",2019,"Q4",""
"109",109,"Dixon Hall Heyworth House","2714 Danforth Ave",2020,"Q1","< 5"
"110",110,"Dixon Hall Heyworth House","2714 Danforth Ave",2020,"Q2","< 5"
"111",111,"Dixon Hall Heyworth House","2714 Danforth Ave",2020,"Q3","< 5"
"112",112,"Dixon Hall Heyworth House","2714 Danforth Ave",2020,"Q4","< 5"
"113",113,"Dixon Hall Heyworth House","2714 Danforth Ave",2021,"Q1","0"
"114",114,"Dixon Hall Heyworth House","2714 Danforth Ave",2021,"Q2","< 5"
"115",115,"Dixon Hall Heyworth House","2714 Danforth Ave",2021,"Q3","< 5"
"116",116,"Dixon Hall Eastminster United OOTC","310 Danforth Ave",2019,"Q1","< 5"
"117",117,"Dixon Hall Eastminster United OOTC","310 Danforth Ave",2019,"Q2",""
"118",118,"Dixon Hall Eastminster United OOTC","310 Danforth Ave",2019,"Q3",""
"119",119,"Dixon Hall Eastminster United OOTC","310 Danforth Ave",2019,"Q4",""
"120",120,"Dixon Hall Schoolhouse","349 George St",2018,"Q1",""
"121",121,"Dixon Hall Schoolhouse","349 George St",2018,"Q2",""
"122",122,"Dixon Hall Schoolhouse","349 George St",2018,"Q3","< 5"
"123",123,"Dixon Hall Schoolhouse","349 George St",2018,"Q4","< 5"
"124",124,"Dixon Hall Schoolhouse","349 George St",2020,"Q1",""
"125",125,"Dixon Hall Schoolhouse","349 George St",2020,"Q2",""
"126",126,"Dixon Hall Schoolhouse","349 George St",2020,"Q3",""
"127",127,"Dixon Hall Schoolhouse","349 George St",2020,"Q4","< 5"
"128",128,"Dixon Hall Schoolhouse","349 George St",2021,"Q1","0"
"129",129,"Dixon Hall Schoolhouse","349 George St",2021,"Q2","5"
"130",130,"Dixon Hall Schoolhouse","349 George St",2021,"Q3","< 5"
"131",131,"Dixon Hall St. Matthew's OOTC","3962 Bloor St W",2019,"Q1",""
"132",132,"Dixon Hall St. Matthew's OOTC","3962 Bloor St W",2019,"Q2",""
"133",133,"Dixon Hall St. Matthew's OOTC","3962 Bloor St W",2019,"Q3",""
"134",134,"Dixon Hall St. Matthew's OOTC","3962 Bloor St W",2019,"Q4","< 5"
"135",135,"Dixon Hall Evangel Hall OOTC","552 Adelaide St W",2018,"Q1",""
"136",136,"Dixon Hall Evangel Hall OOTC","552 Adelaide St W",2018,"Q2",""
"137",137,"Dixon Hall Evangel Hall OOTC","552 Adelaide St W",2018,"Q3","< 5"
"138",138,"Dixon Hall Evangel Hall OOTC","552 Adelaide St W",2018,"Q4","< 5"
"139",139,"Driftwood CC","4401 Jane St",2020,"Q1",""
"140",140,"Driftwood CC","4401 Jane St",2020,"Q2","< 5"
"141",141,"Driftwood CC","4401 Jane St",2020,"Q3",""
"142",142,"Driftwood CC","4401 Jane St",2020,"Q4",""
"143",143,"Good Shepherd Centre West End Hotel Program","335 Jarvis St",2020,"Q1",""
"144",144,"Good Shepherd Centre West End Hotel Program","335 Jarvis St",2020,"Q2","< 5"
"145",145,"Good Shepherd Centre West End Hotel Program","335 Jarvis St",2020,"Q3","< 5"
"146",146,"Good Shepherd Centre West End Hotel Program","335 Jarvis St",2020,"Q4",""
"147",147,"Good Shepherd Centre West End Hotel Program","335 Jarvis St",2021,"Q1",""
"148",148,"Good Shepherd Centre West End Hotel Program","335 Jarvis St",2021,"Q2",""
"149",149,"Good Shepherd Centre West End Hotel Program","335 Jarvis St",2021,"Q3","< 5"
"150",150,"Fred Victor Uptown Hotel Program","185 Yorkland Blvd",2020,"Q1",""
"151",151,"Fred Victor Uptown Hotel Program","185 Yorkland Blvd",2020,"Q2",""
"152",152,"Fred Victor Uptown Hotel Program","185 Yorkland Blvd",2020,"Q3","< 5"
"153",153,"Fred Victor Uptown Hotel Program","185 Yorkland Blvd",2020,"Q4","12"
"154",154,"Fred Victor Uptown Hotel Program","185 Yorkland Blvd",2021,"Q1","7"
"155",155,"Fred Victor Uptown Hotel Program","185 Yorkland Blvd",2021,"Q2","13"
"156",156,"Fred Victor Uptown Hotel Program","185 Yorkland Blvd",2021,"Q2","10"
"157",157,"Eva's Satellite","25 Canterbury Pl",2018,"Q1",""
"158",158,"Eva's Satellite","25 Canterbury Pl",2018,"Q2","< 5"
"159",159,"Eva's Satellite","25 Canterbury Pl",2018,"Q3","< 5"
"160",160,"Eva's Satellite","25 Canterbury Pl",2018,"Q4",""
"161",161,"Eva's Satellite","25 Canterbury Pl",2020,"Q1","< 5"
"162",162,"Eva's Satellite","25 Canterbury Pl",2020,"Q2","< 5"
"163",163,"Eva's Satellite","25 Canterbury Pl",2020,"Q3",""
"164",164,"Eva's Satellite","25 Canterbury Pl",2020,"Q4",""
"165",165,"Eva's Satellite","25 Canterbury Pl",2021,"Q1","< 5"
"166",166,"Eva's Satellite","25 Canterbury Pl",2021,"Q2","< 5"
"167",167,"Eva's Satellite","25 Canterbury Pl",2021,"Q3","0"
"168",168,"Eva's Place","360 Lesmill Rd",2018,"Q1",""
"169",169,"Eva's Place","360 Lesmill Rd",2018,"Q2",""
"170",170,"Eva's Place","360 Lesmill Rd",2018,"Q3","< 5"
"171",171,"Eva's Place","360 Lesmill Rd",2018,"Q4",""
"172",172,"Eva's Place","360 Lesmill Rd",2019,"Q1","< 5"
"173",173,"Eva's Place","360 Lesmill Rd",2019,"Q2","< 5"
"174",174,"Eva's Place","360 Lesmill Rd",2019,"Q3","< 5"
"175",175,"Eva's Place","360 Lesmill Rd",2019,"Q4",""
"176",176,"Eva's Place","360 Lesmill Rd",2021,"Q1","0"
"177",177,"Eva's Place","360 Lesmill Rd",2021,"Q2","< 5"
"178",178,"Eva's Place","360 Lesmill Rd",2021,"Q3","0"
"179",179,"Eva's Phoenix","60 Brant St",2019,"Q1","< 5"
"180",180,"Eva's Phoenix","60 Brant St",2019,"Q2",""
"181",181,"Eva's Phoenix","60 Brant St",2019,"Q3",""
"182",182,"Eva's Phoenix","60 Brant St",2019,"Q4",""
"183",183,"Fife House Sherbourne St","490 Sherbourne St",2020,"Q1",""
"184",184,"Fife House Sherbourne St","490 Sherbourne St",2020,"Q2","< 5"
"185",185,"Fife House Sherbourne St","490 Sherbourne St",2020,"Q3","< 5"
"186",186,"Fife House Sherbourne St","490 Sherbourne St",2020,"Q4","< 5"
"187",187,"Fife House Sherbourne St","490 Sherbourne St",2021,"Q1","< 5"
"188",188,"Fife House Sherbourne St","490 Sherbourne St",2021,"Q2","< 5"
"189",189,"Fife House Sherbourne St","490 Sherbourne St",2021,"Q3","0"
"190",190,"Isolation/Recovery Site - Etobicoke","Isolation/Recovery program address not reported.",2020,"Q1",""
"191",191,"Isolation/Recovery Site - Etobicoke","Isolation/Recovery program address not reported.",2020,"Q2","< 5"
"192",192,"Isolation/Recovery Site - Etobicoke","Isolation/Recovery program address not reported.",2020,"Q3","< 5"
"193",193,"Isolation/Recovery Site - Etobicoke","Isolation/Recovery program address not reported.",2020,"Q4",""
"194",194,"Isolation/Recovery Site - Etobicoke","Isolation/Recovery program address not reported.",2021,"Q1","7"
"195",195,"Isolation/Recovery Site - Etobicoke","Isolation/Recovery program address not reported.",2021,"Q2","10"
"196",196,"Isolation/Recovery Site - Etobicoke","Isolation/Recovery program address not reported.",2021,"Q3","< 5"
"197",197,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2018,"Q1","< 5"
"198",198,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2018,"Q2","< 5"
"199",199,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2018,"Q3","< 5"
"200",200,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2018,"Q4","< 5"
"201",201,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2019,"Q1","< 5"
"202",202,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2019,"Q2","< 5"
"203",203,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2019,"Q3",""
"204",204,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2019,"Q4",""
"205",205,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2020,"Q1","< 5"
"206",206,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2020,"Q2","< 5"
"207",207,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2020,"Q3","< 5"
"208",208,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2020,"Q4","< 5"
"209",209,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2021,"Q1","6"
"210",210,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2021,"Q2","0"
"211",211,"Fred Victor Centre Bethlehem United","1161 Caledonia Rd",2021,"Q3","< 5"
"212",212,"Fred Victor Centre 1A Strachan Ave Respite","1A Strachan Ave",2020,"Q1","< 5"
"213",213,"Fred Victor Centre 1A Strachan Ave Respite","1A Strachan Ave",2020,"Q2","< 5"
"214",214,"Fred Victor Centre 1A Strachan Ave Respite","1A Strachan Ave",2020,"Q3","< 5"
"215",215,"Fred Victor Centre 1A Strachan Ave Respite","1A Strachan Ave",2020,"Q4","11"
"216",216,"Fred Victor Centre 1A Strachan Ave Respite","1A Strachan Ave",2021,"Q1","< 5"
"217",217,"Fred Victor Centre 1A Strachan Ave Respite","1A Strachan Ave",2021,"Q2","< 5"
"218",218,"Fred Victor Centre 1A Strachan Ave Respite","1A Strachan Ave",2021,"Q3","6"
"219",219,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2019,"Q1",""
"220",220,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2019,"Q2","< 5"
"221",221,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2019,"Q3","< 5"
"222",222,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2019,"Q4","< 5"
"223",223,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2020,"Q1","8"
"224",224,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2020,"Q2","< 5"
"225",225,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2020,"Q3","< 5"
"226",226,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2020,"Q4","< 5"
"227",227,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2021,"Q1","< 5"
"228",228,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2021,"Q2","5"
"229",229,"Dixon Hall 351 Lake Shore Blvd E Respite","351 Lake Shore Blvd E",2021,"Q3","< 5"
"230",230,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2018,"Q1","< 5"
"231",231,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2018,"Q2",""
"232",232,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2018,"Q3",""
"233",233,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2018,"Q4",""
"234",234,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2019,"Q1","< 5"
"235",235,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2019,"Q2","< 5"
"236",236,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2019,"Q3","< 5"
"237",237,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2019,"Q4","< 5"
"238",238,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2020,"Q1","9"
"239",239,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2020,"Q2",""
"240",240,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2020,"Q3","< 5"
"241",241,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2020,"Q4",""
"242",242,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2021,"Q1",""
"243",243,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2021,"Q2",""
"244",244,"Fred Victor Centre The Phoenix 24-Hour Women's Drop-In","67 Adelaide St E",2021,"Q3","< 5"
"245",245,"Fred Victor Centre Women's Shelter","86 Lombard St",2020,"Q1","< 5"
"246",246,"Fred Victor Centre Women's Shelter","86 Lombard St",2020,"Q2",""
"247",247,"Fred Victor Centre Women's Shelter","86 Lombard St",2020,"Q3",""
"248",248,"Fred Victor Centre Women's Shelter","86 Lombard St",2020,"Q4",""
"249",249,"Good Shepherd Centre   ","412 Queen St E",2018,"Q1","< 5"
"250",250,"Good Shepherd Centre   ","412 Queen St E",2018,"Q2",""
"251",251,"Good Shepherd Centre   ","412 Queen St E",2018,"Q3","< 5"
"252",252,"Good Shepherd Centre   ","412 Queen St E",2018,"Q4","< 5"
"253",253,"Good Shepherd Centre   ","412 Queen St E",2019,"Q1","< 5"
"254",254,"Good Shepherd Centre   ","412 Queen St E",2019,"Q2","< 5"
"255",255,"Good Shepherd Centre   ","412 Queen St E",2019,"Q3","< 5"
"256",256,"Good Shepherd Centre   ","412 Queen St E",2019,"Q4","< 5"
"257",257,"Good Shepherd Centre   ","412 Queen St E",2020,"Q1",""
"258",258,"Good Shepherd Centre   ","412 Queen St E",2020,"Q2","< 5"
"259",259,"Good Shepherd Centre   ","412 Queen St E",2020,"Q3","< 5"
"260",260,"Good Shepherd Centre   ","412 Queen St E",2020,"Q4","< 5"
"261",261,"Good Shepherd Centre   ","412 Queen St E",2021,"Q1","< 5"
"262",262,"Good Shepherd Centre   ","412 Queen St E",2021,"Q2","5"
"263",263,"Good Shepherd Centre   ","412 Queen St E",2021,"Q3","7"
"264",264,"SSHA Downtown Response Program","76 Church St",2020,"Q1",""
"265",265,"SSHA Downtown Response Program","76 Church St",2020,"Q2",""
"266",266,"SSHA Downtown Response Program","76 Church St",2020,"Q3",""
"267",267,"SSHA Downtown Response Program","76 Church St",2020,"Q4","5"
"268",268,"SSHA Downtown Response Program","76 Church St",2021,"Q1","5"
"269",269,"SSHA Downtown Response Program","76 Church St",2021,"Q2","< 5"
"270",270,"SSHA Downtown Response Program","76 Church St",2021,"Q3","< 5"
"271",271,"SA North Hotel Program","30 Norfinch Dr",2021,"Q1","< 5"
"272",272,"SA North Hotel Program","30 Norfinch Dr",2021,"Q2","0"
"273",273,"SA North Hotel Program","30 Norfinch Dr",2021,"Q3","<5"
"274",274,"SA Scarborough Hotel Program","50 Estate Dr",2020,"Q1",""
"275",275,"SA Scarborough Hotel Program","50 Estate Dr",2020,"Q2",""
"276",276,"SA Scarborough Hotel Program","50 Estate Dr",2020,"Q3","7"
"277",277,"SA Scarborough Hotel Program","50 Estate Dr",2020,"Q4","< 5"
"278",278,"SA Scarborough Hotel Program","50 Estate Dr",2021,"Q1","< 5"
"279",279,"SA Scarborough Hotel Program","50 Estate Dr",2021,"Q2","9"
"280",280,"SA Scarborough Hotel Program","50 Estate Dr",2021,"Q3","< 5"
"281",281,"Homes First Society Savard's Shelter","1322 Bloor St W",2018,"Q1","< 5"
"282",282,"Homes First Society Savard's Shelter","1322 Bloor St W",2018,"Q2",""
"283",283,"Homes First Society Savard's Shelter","1322 Bloor St W",2018,"Q3",""
"284",284,"Homes First Society Savard's Shelter","1322 Bloor St W",2018,"Q4",""
"285",285,"Homes First Society Savard's Shelter","1322 Bloor St W",2019,"Q1",""
"286",286,"Homes First Society Savard's Shelter","1322 Bloor St W",2019,"Q2","< 5"
"287",287,"Homes First Society Savard's Shelter","1322 Bloor St W",2019,"Q3",""
"288",288,"Homes First Society Savard's Shelter","1322 Bloor St W",2019,"Q4",""
"289",289,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2018,"Q1","< 5"
"290",290,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2018,"Q2","6"
"291",291,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2018,"Q3","< 5"
"292",292,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2018,"Q4","< 5"
"293",293,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2019,"Q1","< 5"
"294",294,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2019,"Q2","< 5"
"295",295,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2019,"Q3",""
"296",296,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2019,"Q4","< 5"
"297",297,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2020,"Q1","7"
"298",298,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2020,"Q2","< 5"
"299",299,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2020,"Q3","< 5"
"300",300,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2020,"Q4","< 5"
"301",301,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2021,"Q1","< 5"
"302",302,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2021,"Q2","0"
"303",303,"HFS St. Clair Ave E Shelter","3576 St Clair Ave E",2021,"Q3","6"
"304",304,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2018,"Q1",""
"305",305,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2018,"Q2",""
"306",306,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2018,"Q3","< 5"
"307",307,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2018,"Q4","19"
"308",308,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2019,"Q1","26"
"309",309,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2019,"Q2","15"
"310",310,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2019,"Q3","10"
"311",311,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2019,"Q4","15"
"312",312,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2020,"Q1","39"
"313",313,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2020,"Q2","32"
"314",314,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2020,"Q3","22"
"315",315,"HFS 545 Lake Shore Blvd W ","545 Lake Shore Blvd W",2020,"Q4","47"
